steps	episodes	elapsed	mean	median	stdev	max	min	average_value	average_entropy	average_value_loss	average_policy_loss	n_updates	explained_variance
2000	0	177.96382212638855	-13804.55	-13805.5	317.737474389753	-13037.0	-14447.0	-641.4182	2.3025346	9583.19140625	0.003150863517075777	768	-0.04097600379653521
4000	4	369.3224380016327	-13607.45	-13520.0	381.1389406833985	-13152.0	-14667.0	-1545.8197	2.3020842	5542.421928710937	-0.008636606391519308	1792	-0.3455893754584398
6000	8	560.5220861434937	-13474.15	-13525.0	297.6908101051368	-12948.0	-14126.0	-1937.5835	2.2984295	4793.680200195313	-0.003868885785341263	2816	-0.5801845857214054
8000	12	755.958315372467	-13307.4	-13320.0	240.29968131919208	-12810.0	-13698.0	-2066.786	2.2960875	4232.759025878906	0.0032721463590860366	3840	-0.5625500760815856
10000	16	948.2191786766052	-12777.95	-12781.0	368.4670198767348	-12244.0	-13449.0	-2058.604	2.285106	3606.5287939453124	-0.003382653761655092	4864	-0.08335068253935018
12000	20	1135.1792521476746	-12918.35	-12887.5	331.3351419873683	-12369.0	-13546.0	-2064.1458	2.2798426	4444.232966308594	-0.003967583738267421	5888	-0.18934214120145887
14000	24	1322.2127504348755	-12437.3	-12386.5	313.1456866262596	-11892.0	-12998.0	-2064.5137	2.2627056	5417.736472167969	-0.0034991830587387087	6912	-0.634927911862492
16000	28	1510.512618780136	-12445.5	-12486.5	475.8009867028109	-11411.0	-13293.0	-2036.8558	2.262016	3603.088956298828	0.004793988186866045	7936	-0.4752104033754989
18000	32	1712.8787620067596	-12140.55	-12137.5	334.45548441105217	-11537.0	-12995.0	-2030.2985	2.2525911	4210.39845703125	-0.0016182281076908111	8960	-0.37393735511815906
20000	36	1923.0847527980804	-12620.0	-12574.0	321.3355354077564	-12129.0	-13113.0	-2031.9514	2.2719831	3361.118497314453	-0.0021210485137999058	9984	-0.3093532280798543
22000	40	2128.082827806473	-12771.7	-12768.5	370.87792004775287	-12134.0	-13485.0	-2047.6602	2.27727	5260.6481896972655	-0.005665217954665422	10752	-0.5658394739499664
24000	44	2334.849412918091	-12253.7	-12288.5	333.09491297921613	-11497.0	-12725.0	-2097.0325	2.268836	5895.844279785157	0.0003754256200045347	11776	-0.9496011361969221
26000	48	2545.56871843338	-11662.55	-11658.5	330.4374254004276	-11129.0	-12401.0	-2193.2876	2.24339	4117.624750976563	-0.0034792263247072695	12800	-0.2435916106899514
28000	52	2754.5827565193176	-12038.15	-12044.0	323.7280006750306	-11420.0	-12504.0	-2045.3105	2.2470827	2608.8371569824217	0.0009425065480172634	13824	-0.20868122956761326
30000	56	2967.5361790657043	-12417.3	-12473.5	315.25713815533936	-11815.0	-13009.0	-1994.8689	2.2706268	4773.237507324218	-0.0033404260687530042	14848	-0.20386558717892345
32000	60	3179.00669670105	-12448.0	-12454.0	239.41705518987044	-11990.0	-13020.0	-2030.5854	2.2751102	4159.34037109375	-0.000836276225745678	15872	-0.563946575170764
34000	64	3389.6491236686707	-11804.05	-11888.0	299.8700551905775	-11401.0	-12444.0	-2020.2075	2.2469766	2481.4850463867188	-0.00035718476399779317	16896	-0.32649378808554164
36000	68	3603.0234344005585	-11785.15	-11718.0	369.9849605762802	-11106.0	-12481.0	-1924.7263	2.2398994	2676.7479467773437	-0.001297422293573618	17920	-0.6127921801960601
38000	72	3820.995327949524	-10919.95	-10875.0	300.0934021267379	-10291.0	-11388.0	-1862.8058	2.1818967	2865.7987658691404	0.000579196996986866	18944	-0.5315656505079689
40000	76	4038.1481969356537	-11816.0	-11972.5	300.28705564754813	-11345.0	-12204.0	-1850.1873	2.186148	2294.882604980469	0.0037236656667664647	19968	-0.7156647811259746
42000	80	4252.929899692535	-11502.15	-11494.5	366.71934988345976	-10808.0	-12401.0	-1876.2538	2.225876	3034.348466796875	0.006182948462665081	20992	-0.020026353183246526
44000	84	4462.325455904007	-11415.4	-11402.5	362.31541943159795	-10591.0	-12150.0	-1860.9884	2.2233353	3345.4975512695314	-0.0009318439103662968	21760	-0.5307997976071153
46000	88	4676.606031656265	-11649.85	-11709.5	276.3802253189769	-11030.0	-12133.0	-1769.7476	2.2188344	5001.3883203125	0.0031590671837329865	22784	0.10899473189447217
48000	92	4887.046146154404	-11678.6	-11578.5	362.15326793180293	-11215.0	-12691.0	-1842.6613	2.234655	2453.7490551757815	-0.003576121591031551	23808	-0.5241081675033286
50000	96	5096.375095367432	-11093.55	-11055.5	261.9074716082199	-10624.0	-11471.0	-1940.4639	2.218401	3573.377598876953	-0.0031566055864095687	24832	0.021837163010203997
52000	100	5307.714749574661	-10870.45	-10798.0	307.36305893844826	-10469.0	-11569.0	-1981.935	2.1988583	2195.7644030761717	-0.00047887078486382964	25856	-0.07764257252624973
54000	104	5518.184829235077	-10707.6	-10731.0	288.85807842898254	-10009.0	-11231.0	-1891.5829	2.1720846	2575.3119665527342	0.004736128076910972	26880	-0.23240421129220823
56000	108	5731.518437862396	-10852.05	-10915.5	325.0090646509158	-10416.0	-11515.0	-1853.5355	2.1889238	3345.4306518554686	-0.0005419907905161381	27904	0.04900003939154174
58000	112	5946.38562130928	-11211.5	-11199.5	303.3324561390825	-10668.0	-11817.0	-1782.436	2.217234	2556.037580566406	3.5135792568325993e-05	28928	0.3729583693884104
60000	116	6161.441266775131	-11140.25	-11051.0	256.33096923601266	-10806.0	-11752.0	-1757.8995	2.1963692	1864.6744268798827	0.0019222931005060673	29952	0.2429729160621379
62000	120	6374.21964931488	-11493.3	-11494.0	501.2936002825196	-10509.0	-12528.0	-1776.9022	2.2288013	2997.0420471191405	0.0001310049369931221	30976	-0.20832241427414533
64000	124	6584.71275305748	-11423.3	-11423.5	359.9239832023014	-10599.0	-12225.0	-1843.0143	2.2363276	3168.7705700683596	0.004455949235707521	32000	-0.18893790889138895
66000	128	6794.405405759811	-11914.15	-11900.0	281.82567867015723	-11330.0	-12410.0	-1867.4348	2.2534745	1605.6126458740234	-0.001850262191146612	32768	-0.3163590802799696
68000	132	7006.055543661118	-10951.65	-10986.5	283.09348930028494	-10452.0	-11457.0	-1857.399	2.2087154	2763.815782470703	0.005053621307015419	33792	0.030036038795857922
70000	136	7219.240238189697	-10962.35	-11005.5	355.8046884398651	-10291.0	-11508.0	-1834.1057	2.1999595	4736.782612304687	-0.000549162458628416	34816	-0.7116033298335502
72000	140	7428.228469610214	-10753.7	-10728.5	186.42342861572442	-10466.0	-11181.0	-1805.312	2.1843402	3519.1601318359376	0.001129472330212593	35840	0.11518827352608518
74000	144	7640.5176339149475	-10831.9	-10786.5	375.0194240583448	-10071.0	-11570.0	-1782.8171	2.18825	2989.8033703613282	-0.00509573258459568	36864	0.16839506133498372
76000	148	7853.927298784256	-10401.65	-10434.5	283.81188636508034	-9815.0	-10904.0	-1802.7286	2.1597998	2703.617479248047	0.005686958217993378	37888	-1.1887473809452271
78000	152	8063.275235414505	-10430.25	-10411.0	223.59429307282608	-10065.0	-10992.0	-1873.9955	2.140271	1764.6836145019531	0.0044005544856190685	38912	-0.8405224874168933
80000	156	8274.66088461876	-10855.35	-10858.5	298.18067200590775	-10371.0	-11564.0	-1784.5482	2.1970277	2104.990225830078	-0.0012623218912631274	39936	-0.24765567505613317
82000	160	8485.327859640121	-11084.65	-11025.5	359.6846974489565	-10472.0	-11781.0	-1808.1133	2.203978	1818.6548071289062	-0.0006242314074188471	40960	-0.00020091669809496615
84000	164	8694.667125940323	-11044.8	-11121.0	413.0126288371185	-10026.0	-11676.0	-1788.0446	2.209853	2115.581845703125	0.0012538772821426391	41984	-0.47741184131656755
86000	168	8899.03067779541	-10856.35	-10851.5	301.9482833027432	-10384.0	-11482.0	-1788.652	2.174081	2063.7661560058596	-0.003647586889564991	42752	-0.3859566454135259
88000	172	9109.004848718643	-11344.3	-11402.0	285.26536122668216	-10856.0	-11764.0	-1799.123	2.2118647	3204.0498046875	-0.006079267663881183	43776	-0.1580512930973672
90000	176	9321.615709066391	-11336.5	-11268.0	269.06729739289347	-10958.0	-11995.0	-1780.6245	2.1994352	4014.917253417969	-0.002709531839936972	44800	-0.20411580357743486
92000	180	9535.95289516449	-11481.7	-11502.0	326.2461292369693	-10971.0	-12203.0	-1810.5852	2.2128427	3691.3108349609374	0.007996767051517964	45824	-1.884687992170257
94000	184	9752.459790945053	-11826.9	-11864.5	270.91888473353634	-11235.0	-12211.0	-1736.0322	2.2385	4598.567834472657	0.0002716049924492836	46848	-0.6970560302838347
96000	188	9967.268671035767	-11520.25	-11467.0	288.2018435603404	-11033.0	-12085.0	-1800.9404	2.2423267	4497.066691894532	0.0012111486494541168	47872	0.24846179731296714
98000	192	10185.515659093857	-11540.0	-11495.0	360.09487054035316	-10635.0	-12150.0	-1764.9263	2.236335	2541.502381591797	-0.0003184430114924908	48896	-0.44168384965517493
100000	196	10406.359863519669	-11593.3	-11622.0	250.9525222448514	-11161.0	-12104.0	-1822.709	2.233583	2575.599968261719	-0.0075668074563145634	49920	0.19145927796585627
102000	200	10623.683033943176	-11023.65	-11072.0	329.73566366824326	-10364.0	-11595.0	-1903.0587	2.2082353	2015.5985278320313	-0.002868705354630947	50944	-0.20187190473540295
104000	204	10839.860669851303	-10234.0	-10285.0	286.97239918629253	-9782.0	-10726.0	-1973.6925	2.1657393	1660.9611193847657	-0.0020178684033453466	51968	0.1013485761890014
106000	208	11054.488145589828	-10903.95	-10958.5	287.80137064887026	-10365.0	-11333.0	-1757.3623	2.1664965	3392.038815917969	-0.001376598309725523	52992	-0.6905339313441963
108000	212	11255.851532459259	-11413.85	-11468.0	330.02029841878067	-10815.0	-12139.0	-1772.8441	2.2046266	2957.9249291992187	0.0029094636626541613	53760	-0.793608487124055
