steps	episodes	elapsed	mean	median	stdev	max	min	average_value	average_entropy	average_value_loss	average_policy_loss	n_updates	explained_variance
2000	0	163.6361448764801	-14030.85	-13967.0	273.9939060021514	-13633.0	-14566.0	-711.7238	2.302581	14158.912739257812	0.003693002313375473	768	-0.09866104069634662
4000	4	338.4151816368103	-14009.2	-13906.0	262.02040900823374	-13637.0	-14701.0	-1579.924	2.30256	6607.788442382813	-0.004304126612842083	1792	0.28560450214093713
6000	8	512.8872549533844	-13877.05	-13867.0	336.61354930980923	-13275.0	-14612.0	-1980.3168	2.3017333	5144.096875	-0.0013595571974292398	2816	0.08991929048283542
8000	12	700.6171259880066	-13641.65	-13654.0	270.64275832096257	-13027.0	-13988.0	-2118.177	2.3008893	5945.540769042968	0.000656149797141552	3840	0.011621234644980882
10000	16	892.1474330425262	-13302.95	-13292.5	400.976633391917	-12485.0	-14094.0	-2162.7017	2.2968373	5990.374545898438	0.0012980905547738076	4864	-0.6858267783463292
12000	20	1081.7733521461487	-12764.45	-12762.5	381.86832602489125	-11853.0	-13544.0	-2209.4578	2.281982	5562.448134765625	-0.0037778563424944876	5888	-0.34708060932871154
14000	24	1270.7272036075592	-11844.55	-11871.5	414.66631797525815	-11038.0	-12904.0	-2132.5327	2.2453675	4227.905479736328	0.0031182143464684488	6912	-1.3691237768587996
16000	28	1454.2272107601166	-11988.9	-11975.5	294.73893890231597	-11292.0	-12724.0	-2030.049	2.2607243	3669.329171142578	-0.001519974935799837	7936	-0.062231289450858984
18000	32	1656.5481171607971	-12436.1	-12475.0	216.22743873791296	-12012.0	-12857.0	-2051.0671	2.2689426	4605.3294921875	0.0022093624249100684	8960	-0.3948263167601298
20000	36	1866.2633905410767	-12505.45	-12543.5	285.4336451602608	-11974.0	-13079.0	-2076.4944	2.2753901	3726.6789306640626	-0.007407860737293959	9984	-1.4396660336489258
22000	40	2069.2088129520416	-12577.95	-12548.5	327.3638688547943	-12075.0	-13272.0	-2085.0498	2.2731216	4826.1562109375	-0.0004757231008261442	10752	-0.5374171269571493
24000	44	2278.1239597797394	-12100.8	-12094.5	350.0052029688461	-11666.0	-12838.0	-2134.839	2.2532752	4545.248151855469	-0.0010202457010746002	11776	0.013714911306797695
26000	48	2485.9368772506714	-11567.5	-11549.5	243.9461761169977	-11075.0	-12107.0	-2134.7356	2.2420714	3895.691013183594	-0.0027103818394243716	12800	-0.2943386341658565
28000	52	2694.245038509369	-11391.55	-11405.5	333.21566826748614	-10452.0	-12051.0	-2048.2874	2.228264	2894.15248046875	-0.005799482921138406	13824	-0.36797485022072385
30000	56	2903.9614210128784	-11360.95	-11382.5	294.1904995066972	-10714.0	-12066.0	-1941.9427	2.2065299	2334.6798937988283	-0.0008272000029683113	14848	-0.06438448277388686
32000	60	3110.902470588684	-11041.3	-11046.0	333.7034769466986	-10302.0	-11747.0	-1928.416	2.2092412	3112.6853540039065	0.004965360201895237	15872	-0.4668218352434401
34000	64	3322.373188495636	-11355.2	-11420.5	294.5259527479799	-10805.0	-11951.0	-1849.9811	2.1946785	2425.7074194335937	-0.0031172936595976353	16896	-0.043591194827761415
36000	68	3537.8309309482574	-11624.1	-11608.0	349.561966496718	-11131.0	-12342.0	-1850.5852	2.217833	3747.032585449219	0.006693897577933967	17920	0.13410476608010702
38000	72	3749.9817526340485	-11093.2	-11046.0	327.024480010772	-10576.0	-11674.0	-1873.6052	2.2147052	3778.0920288085936	-0.0035231464542448522	18944	-1.0020246075278978
40000	76	3964.1924324035645	-10953.1	-10981.0	291.9590634606881	-10403.0	-11447.0	-1820.0281	2.1910038	1644.4091766357421	-0.004207032453268767	19968	0.19122988138066666
42000	80	4180.74206495285	-11445.6	-11394.5	347.40169378128434	-10745.0	-12222.0	-1793.5419	2.187935	3074.84689453125	-0.0008220862410962582	20992	-0.05891470924267561
44000	84	4390.19725561142	-10987.65	-10971.0	264.1357854549336	-10293.0	-11425.0	-1801.7413	2.1795177	3199.080378417969	-0.003482022238895297	21760	-0.6858439682044188
46000	88	4604.390764474869	-11065.55	-11108.5	336.53645692867406	-10436.0	-11778.0	-1833.4897	2.1854973	3372.4916564941404	0.005829891599714756	22784	-0.4035069155288209
48000	92	4817.977719306946	-10868.9	-10907.0	323.86074005252385	-10340.0	-11609.0	-1821.4595	2.172689	3303.951007080078	-0.003112621186301112	23808	-0.7658324895795552
50000	96	5031.047199487686	-10316.45	-10277.5	411.914078291501	-9761.0	-11396.0	-1836.2139	2.1222324	2275.4840661621092	0.0009494964592158795	24832	-0.4059192425109157
52000	100	5245.153888702393	-10755.75	-10761.5	303.182396899084	-10177.0	-11292.0	-1861.87	2.1583567	1828.3518524169922	-0.001568511058576405	25856	-0.4694947677432435
54000	104	5460.270449399948	-10734.65	-10765.5	313.3018176573006	-10242.0	-11345.0	-1782.8202	2.1496165	1770.065859375	0.0014175671897828578	26880	-0.47119048705193745
56000	108	5676.753723621368	-11602.4	-11582.0	311.5015248758824	-11080.0	-12083.0	-1802.7058	2.1908937	2587.1742700195314	-0.0028962230309844015	27904	0.021077028518062257
58000	112	5894.68831205368	-11095.05	-11041.5	339.50094566180985	-10472.0	-11662.0	-1844.7596	2.1919348	3026.0026342773435	0.0011203598510473966	28928	-0.78476212122329
60000	116	6106.082444429398	-11480.5	-11494.5	318.55240005209095	-10677.0	-12241.0	-1865.1356	2.199888	2506.332735595703	0.0003530950285494328	29952	-0.6192093314866121
62000	120	6315.431020259857	-11537.35	-11506.0	276.7631088513291	-10932.0	-12191.0	-1777.7577	2.2293653	3174.1448388671874	-0.001981913335621357	30976	-0.6361300666491307
64000	124	6527.080176353455	-10583.85	-10554.0	350.5508860125881	-10077.0	-11340.0	-1808.0176	2.1676295	1668.5368927001953	-0.004459758289158344	32000	0.33561205451837306
66000	128	6735.254920721054	-11027.35	-10982.5	306.8488870334781	-10421.0	-11782.0	-1791.8651	2.186299	2662.796453857422	-0.0004297491908073425	32768	-0.5237053145856074
68000	132	6949.24488902092	-10797.55	-10807.0	389.1789569418108	-9941.0	-11449.0	-1754.5654	2.1687293	2416.2184619140626	-0.004820287525653839	33792	-1.1777211839326585
70000	136	7161.086376190186	-11671.0	-11622.5	418.01901241073006	-10953.0	-12371.0	-1734.7593	2.1946087	4032.167137451172	-0.0020512242801487444	34816	-0.12010298598072833
72000	140	7374.425543785095	-11532.9	-11599.0	386.8773639499242	-10632.0	-12075.0	-1767.3928	2.2182446	3220.4199768066405	0.0030145637504756452	35840	0.03406277841488392
74000	144	7587.808728456497	-11754.0	-11789.5	374.7890634813977	-11082.0	-12527.0	-1822.6229	2.2147937	2318.0829467773438	0.002034672815352678	36864	-0.7813108832010511
76000	148	7798.965190410614	-11470.35	-11447.0	441.38207282413083	-10719.0	-12138.0	-1929.8264	2.228059	2469.093106689453	-0.0010816225316375495	37888	-0.9930031493521425
78000	152	8010.468072891235	-11099.0	-11222.5	353.12082321703105	-10308.0	-11558.0	-2029.5577	2.1718857	1831.1961840820313	-0.00048647478222846986	38912	-0.016414473022525744
80000	156	8222.1097676754	-11545.3	-11522.0	366.31365622488346	-11006.0	-12380.0	-1887.2938	2.22046	2467.535263671875	0.0020895427465438842	39936	-0.5980813625463979
82000	160	8431.209441184998	-11159.1	-11065.5	298.95764530148836	-10720.0	-11716.0	-1883.142	2.2269073	1915.123299560547	0.0012718993425369263	40960	-0.1457875697490365
84000	164	8639.997529268265	-10518.65	-10454.0	323.8630761684066	-10079.0	-11140.0	-1847.6461	2.1835742	3087.8394287109377	0.008518741112202405	41984	-0.4712980010458332
86000	168	8846.25352859497	-10304.5	-10243.5	310.0737603250318	-9585.0	-10833.0	-1781.1257	2.139274	3186.545576171875	0.002004650551825762	42752	-0.11287189519878305
88000	172	9058.092724561691	-10424.35	-10452.5	255.68036686456784	-9965.0	-10961.0	-1726.2751	2.139528	3540.111788330078	-0.004373702500015497	43776	0.05344114277717926
