steps	episodes	elapsed	mean	median	stdev	max	min	average_value	average_entropy	average_value_loss	average_policy_loss	n_updates	explained_variance
2000	0	34.997628927230835	-21479.948017902036	-21510.278384076926	493.30552074647875	-20368.156300330636	-22526.9256225511	-2474.1655	2.1229575	9757.839189453125	0.00018567731603980064	768	0.39295206266999116
4000	4	75.32637071609497	-21602.01819507429	-21487.379912416298	510.0973244949585	-20215.262092095156	-22467.46700268014	-2422.2625	2.1585371	10711.110234375	0.0068244888912886385	1792	0.6017957949613918
6000	8	112.93516397476196	-22720.9437433976	-22634.77848956309	485.71580663264484	-22006.35584334212	-23734.133634389273	-2388.035	2.1677036	12017.244731445313	0.0028224537894129755	2816	0.4240288319253208
8000	12	152.9439995288849	-22959.30870385311	-22730.48910067976	869.8217448784721	-21742.926995692873	-24552.44095269558	-2942.2512	2.1992598	182401.5398046875	-0.003844368886202574	3840	0.8163555930835624
10000	16	193.463636636734	-23958.589512210132	-24114.311076131613	734.2235371290813	-22739.822478358925	-24980.747193172865	-3195.6587	2.2183044	346347.58828125	0.004226806815713644	4864	0.7646003040308633
12000	16	232.69345355033875	-22970.245395010115	-23152.240499173953	920.5931820007779	-20999.816523267447	-24242.812851260995	-2781.606	2.2127185	14234.726904296875	0.0031852374505251645	5888	0.4270163505886464
14000	20	271.3908739089966	-23782.000647875684	-23805.70761853991	784.8145769607563	-22286.46084893129	-25742.42365450672	-2629.783	2.2298589	9837.616411132813	-0.0021057113260030745	6912	0.07788493068011715
16000	24	309.9822533130646	-23538.66300771994	-23475.732933908854	478.35181704787215	-22430.490747415475	-24189.762919411605	-2092.8936	2.2137816	11557.065732421876	0.002565040970221162	7936	0.4981051971493642
18000	28	349.1715724468231	-23663.423491526388	-23726.83310790706	522.1721276030472	-22824.5442542294	-24730.589186014393	-2793.863	2.2380111	10329.69953125	0.001008511558175087	8960	0.41384496749508903
20000	32	388.40945267677307	-24189.033351560305	-24260.19495020171	546.7891409198817	-22716.57666327774	-24955.920750097503	-3381.2705	2.2318993	7075.681296386719	-0.004924788326025009	9984	0.8636219844415925
22000	36	423.7703855037689	-21963.773515771154	-21791.604866194066	551.2139770875986	-21024.299271277603	-22898.115370441883	-3465.3118	2.1999228	8630.880634765625	-0.0050977890565991404	10752	0.7334347795381752
24000	36	464.257040977478	-21966.245242423636	-21809.238149465968	696.5310601263914	-20891.511940029905	-23576.381308330612	-2526.4385	2.1688828	9912.8441015625	-0.001211393279954791	11776	0.5160623641640041
26000	40	504.3138816356659	-22258.315786328807	-22362.719622884077	563.4153659751386	-20954.418451035282	-23186.698399271878	-2692.1045	2.1727984	13331.9090625	-0.001718464158475399	12800	0.29467387983808124
