steps	episodes	elapsed	mean	median	stdev	max	min	average_value	average_entropy	average_value_loss	average_policy_loss	n_updates	explained_variance
2000	0	185.06033754348755	-13751.6	-13648.5	270.9207302981135	-13345.0	-14300.0	-632.83386	2.302548	11423.493237304687	-0.0008745412155985832	768	-0.06191917338157826
4000	4	379.0777997970581	-13654.45	-13689.0	323.25783663720887	-12853.0	-14115.0	-1524.3855	2.3019297	4891.609169921875	-0.0031809415109455585	1792	0.33954865737349704
6000	8	572.4832646846771	-13437.25	-13415.5	333.78560326558187	-12736.0	-14064.0	-1946.5112	2.2995594	5344.669699707031	-0.005366255659610033	2816	-0.9154967506941154
8000	12	755.5373833179474	-13203.85	-13213.0	290.5979814831914	-12702.0	-13842.0	-2087.2441	2.296644	6903.6358984375	0.0013592917285859584	3840	-0.24676746098048374
10000	16	936.6664469242096	-13089.9	-13117.0	329.4101426872936	-12510.0	-13612.0	-2113.2415	2.290061	5460.296472167969	0.0005795999616384506	4864	-0.4498041573232556
12000	20	1109.3731565475464	-13329.3	-13287.0	371.94002063151044	-12387.0	-13993.0	-2152.708	2.2963755	5936.807028808594	-0.0028407166339457033	5888	-0.2154832556244668
14000	24	1277.5138983726501	-12911.7	-12951.0	270.0814886776134	-12249.0	-13503.0	-2140.8455	2.2930517	3663.3063708496093	0.0021885820105671883	6912	-0.21445102062482402
16000	28	1451.8689241409302	-12395.95	-12362.0	274.6066037845872	-11957.0	-12949.0	-2146.495	2.2757115	4110.156157226563	0.002371241543442011	7936	-0.8660130316505417
18000	32	1649.4154794216156	-12274.45	-12212.5	463.7238827941518	-11471.0	-13668.0	-2076.4053	2.2487755	5418.006389160157	-0.004967826288193465	8960	-0.26617105757090287
20000	36	1845.2485678195953	-12108.7	-12146.5	344.87237914152655	-11367.0	-12706.0	-2043.3912	2.2488613	3400.749278564453	0.0003849884308874607	9984	0.10497029340732789
22000	40	2041.3832414150238	-12332.75	-12352.5	269.49658234333293	-11777.0	-13069.0	-2040.384	2.2728505	5848.7725439453125	0.00427603455260396	10752	0.00023809605812430412
24000	44	2242.151119709015	-12645.45	-12647.5	268.0142327328316	-12108.0	-13065.0	-2078.8557	2.2752426	4305.559956054687	0.003815796673297882	11776	-1.1077357382573023
26000	48	2438.192647218704	-12549.6	-12672.5	362.966926142981	-11771.0	-13157.0	-2152.515	2.2727146	3760.9809826660157	0.0023703550780192015	12800	-0.40774812004369543
28000	52	2637.300510406494	-12331.75	-12269.0	363.2132728562481	-11909.0	-13091.0	-2105.1902	2.272077	3737.8072424316406	-0.00408681396394968	13824	-0.09611983041979011
30000	56	2838.496766805649	-12114.15	-12111.0	263.7756772235394	-11666.0	-12587.0	-2094.4084	2.268289	2666.4093859863283	-0.0008860642090439796	14848	-0.19581088263565727
32000	60	3041.3593788146973	-11642.45	-11584.0	320.8415701836262	-11225.0	-12272.0	-2037.0782	2.2418554	3565.5971630859376	-0.0008243581186980009	15872	-0.5990968735814992
34000	64	3246.7400884628296	-11198.5	-11139.5	230.45664051594335	-10881.0	-11563.0	-1975.3398	2.2187212	2607.567442626953	0.0004076679050922394	16896	-0.2992053024717547
36000	68	3451.996470451355	-11272.3	-11275.0	397.9129896955125	-10040.0	-11795.0	-1899.4264	2.2197163	2518.9322705078125	-0.002329546883702278	17920	-0.40439048430285984
38000	72	3655.9534792900085	-11146.05	-11170.5	271.2024831046082	-10760.0	-11593.0	-1841.9597	2.2029862	3079.038924560547	0.00623771520331502	18944	-1.0670183162725144
40000	76	3859.2158455848694	-11296.9	-11324.5	343.4979353343297	-10544.0	-11975.0	-1834.2097	2.2360675	2697.6260180664062	-0.0034702963195741175	19968	-0.7061748653086879
42000	80	4064.1499288082123	-11453.85	-11475.0	323.06155108504277	-10727.0	-11995.0	-1807.4675	2.1880565	3747.5766638183595	-0.0016531823389232159	20992	-0.845167083832383
44000	84	4264.100716590881	-11627.1	-11650.5	387.8727273624416	-10854.0	-12293.0	-1797.2104	2.233959	3979.022912597656	0.000583617277443409	21760	-0.33986547377379184
