steps	episodes	elapsed	mean	median	stdev	max	min	average_value	average_entropy	average_value_loss	average_policy_loss	n_updates	explained_variance
2000	0	179.2670979499817	-14198.15	-14209.0	417.83001769165713	-13015.0	-14918.0	-932.816	2.302564	6912.660932617187	-0.004590725367888808	768	0.20468055453738476
4000	4	363.0668132305145	-14037.8	-14028.5	280.94532152041705	-13643.0	-14648.0	-1774.5231	2.3021986	5860.679201660157	0.0007976185902953147	1792	0.02985621619985257
6000	8	551.3299114704132	-13557.5	-13585.0	319.39787100104473	-12789.0	-14056.0	-2039.747	2.2948918	2817.5280627441407	-0.0037172446958720685	2816	0.21849831787892116
8000	12	736.1537640094757	-12952.2	-12958.5	315.9989340421728	-12368.0	-13548.0	-2116.1428	2.2669966	4071.8613549804686	-0.001107818465679884	3840	-0.033888981219638126
10000	16	920.8405458927155	-12414.0	-12458.5	370.7512998167228	-11718.0	-13091.0	-2007.0178	2.2504342	3004.9986877441406	-0.00028017057105898856	4864	0.09299774475680223
12000	20	1107.6534686088562	-12572.45	-12491.0	287.0164996174115	-12234.0	-13316.0	-1910.3812	2.2621758	2162.0858251953123	-0.004972759857773781	5888	0.18552030987359425
14000	24	1292.268707036972	-12209.5	-12284.0	258.2739263894665	-11670.0	-12538.0	-1785.2095	2.218038	3067.3257409667967	0.00181756473146379	6912	-0.35849847673037494
16000	28	1478.4728093147278	-11894.95	-11996.5	395.1894249330913	-11106.0	-12307.0	-1639.2205	2.214893	3745.973006591797	0.0008994241058826447	7936	0.0029331185403543847
18000	32	1670.724437236786	-12268.7	-12280.0	333.0958610243888	-11727.0	-12957.0	-1602.1108	2.2324507	2932.507209472656	-0.0023031242005527018	8960	0.5410816715300304
20000	36	1856.932516336441	-11776.9	-11776.5	314.4826829806958	-11098.0	-12267.0	-1449.3673	2.2138085	4532.335212402344	0.0011357774678617716	9984	0.2519372151198115
22000	40	2032.3638882637024	-12176.6	-12209.5	278.28353583313094	-11628.0	-12650.0	-1411.6462	2.2107606	5068.863310546875	-0.0032321882992982862	10752	-0.11641345125538094
24000	44	2216.048014640808	-12425.7	-12406.0	171.20197367283382	-12212.0	-12805.0	-1431.3344	2.2316906	6738.197583007813	0.003754664724692702	11776	0.3362960195061667
