steps	episodes	elapsed	mean	median	stdev	max	min	average_value	average_entropy	average_value_loss	average_policy_loss	n_updates	explained_variance
2000	0	178.48753023147583	-14203.6	-14240.5	347.98871730046227	-13451.0	-14722.0	-940.8087	2.3025782	6428.305043945313	0.0036964818835258486	768	-0.14959441157141518
4000	4	370.46830677986145	-14058.25	-14045.5	269.1399313211976	-13662.0	-14529.0	-1723.3718	2.3020391	3928.754520263672	-0.0030375708267092703	1792	-0.21732407439911894
6000	8	554.185290813446	-13826.65	-13761.0	374.1265301022046	-13246.0	-14573.0	-1992.5225	2.3003602	3060.581281738281	0.000573984757065773	2816	0.012595853811882773
8000	12	743.3438608646393	-13440.15	-13441.0	326.13498577639353	-12973.0	-14134.0	-2075.0059	2.2909317	2576.5865673828125	-0.0007162026688456535	3840	0.5624760816900999
10000	16	933.6589689254761	-12976.45	-12900.5	296.8984364710386	-12274.0	-13548.0	-2035.7058	2.2743528	2842.3241528320314	-0.0035863559320569037	4864	0.3833265332556762
12000	20	1124.37890291214	-12986.6	-12978.0	326.30021694590914	-12320.0	-13603.0	-1907.0117	2.2786908	2760.6452978515626	0.0022047334723174572	5888	0.025651526911430467
14000	24	1316.2209377288818	-12809.25	-12846.0	226.59885143946386	-12388.0	-13151.0	-1872.468	2.265192	3166.4460864257812	0.0011307837814092637	6912	0.26780357958526346
16000	28	1506.6491196155548	-12546.7	-12624.0	340.9482288219754	-11970.0	-13079.0	-1696.4427	2.2506363	2895.25357421875	-0.0022939870320260523	7936	0.35493352455216376
18000	32	1700.5265538692474	-12211.05	-12297.0	319.2610670710859	-11520.0	-12621.0	-1699.7576	2.2461061	2846.597392578125	-0.004744020234793425	8960	0.32161381788888976
20000	36	1895.0185234546661	-12463.15	-12396.0	385.5133658683676	-11922.0	-13582.0	-1514.3514	2.2291548	6699.921655273438	-0.005186073482036591	9984	0.45612403535913604
22000	40	2082.6904530525208	-12148.75	-12145.0	298.4625296062261	-11716.0	-12612.0	-1503.8915	2.225016	6603.23037109375	-0.002565637449733913	10752	0.7290840205523346
24000	44	2274.4432468414307	-12359.4	-12417.0	318.156763743582	-11384.0	-12774.0	-1459.4463	2.2385054	5852.521208496094	-0.003491962645202875	11776	0.5274767869685386
26000	48	2469.7440581321716	-12150.8	-12116.0	244.89215671607906	-11819.0	-12564.0	-1537.9485	2.2081778	5927.19111328125	0.00096526013687253	12800	-0.07788162998180925
28000	52	2668.8923120498657	-11951.6	-11981.0	232.16065218088235	-11539.0	-12385.0	-1600.2865	2.202453	5260.313388671875	-0.007005287893116474	13824	0.5974568562897999
30000	56	2859.985172510147	-12383.7	-12505.0	328.9452202035118	-11684.0	-13014.0	-1662.1968	2.235395	3704.6037109375	-0.005460112700238824	14848	-0.01683204800152649
32000	60	3052.6845417022705	-12129.5	-12147.0	277.16658490783783	-11663.0	-12828.0	-1764.9781	2.2328422	3485.9873681640624	0.0034622056037187576	15872	0.16245903245925164
34000	64	3244.374807357788	-12291.25	-12298.0	334.9642361113858	-11761.0	-12991.0	-1800.5482	2.2314506	3418.439295654297	-0.0007055841200053692	16896	-0.5624864862830794
36000	68	3435.002022743225	-12114.0	-12105.5	304.03929801399374	-11470.0	-12537.0	-1736.0067	2.226028	3198.6862524414064	0.005219322107732296	17920	0.6878828165367732
38000	72	3621.9194786548615	-12176.3	-12158.5	279.5782726291794	-11556.0	-12763.0	-1759.4045	2.2207072	2477.9663073730467	-0.0013444746658205985	18944	0.38035598364275525
40000	76	3802.0803649425507	-11816.8	-11817.0	303.48078929923093	-11218.0	-12330.0	-1635.8497	2.1881642	2283.866650390625	0.0015401054918766021	19968	-0.05633903376567617
42000	80	3990.911108493805	-11935.25	-11945.5	294.12079061787557	-11304.0	-12413.0	-1578.6299	2.2050605	2677.780362548828	0.0024253665655851364	20992	0.35435846304967134
44000	84	4173.250118255615	-11860.5	-11811.5	245.63569516021508	-11426.0	-12403.0	-1473.0778	2.2070744	3766.978388671875	-0.005347880311310291	21760	0.7798127686724671
46000	88	4363.760655164719	-12379.3	-12360.0	267.466692466459	-11744.0	-12736.0	-1414.7365	2.215816	5754.465908203125	0.0006192004773765802	22784	-0.04008495855985306
48000	92	4552.829507350922	-12415.95	-12447.0	372.3868213791166	-11814.0	-13136.0	-1327.1877	2.2434902	5081.095935058594	0.0018001937307417393	23808	0.4645489921014364
50000	96	4740.766750335693	-12335.95	-12251.0	239.02267564748792	-11980.0	-12755.0	-1426.9507	2.2212782	6870.144362792968	-0.0018287552893161774	24832	0.7306476159272756
52000	100	4928.772642612457	-11901.65	-11920.0	280.0626386702578	-11361.0	-12380.0	-1479.0436	2.2064238	5014.145186767578	-0.002116345623508096	25856	0.0501080096174098
54000	104	5112.442549467087	-12539.85	-12514.0	254.25500564342258	-12087.0	-13076.0	-1690.968	2.2371404	2300.13513671875	-0.00142109839245677	26880	0.6543515818380065
56000	108	5306.204146623611	-12046.6	-12072.5	230.79984493290422	-11513.0	-12461.0	-1814.0148	2.2256064	1745.942869873047	0.0008818171080201865	27904	0.34108761071731464
58000	112	5498.08984041214	-11691.1	-11623.5	300.39130620260175	-11201.0	-12259.0	-1855.26	2.2060778	2416.338210449219	-0.0016343947872519493	28928	0.514900682271843
60000	116	5688.144033908844	-11884.55	-11935.5	235.6544023955866	-11283.0	-12201.0	-1798.3232	2.1771688	2640.975953369141	-0.004499017018824816	29952	0.2280869533603983
62000	120	5879.565466403961	-11641.25	-11645.0	252.58700950053043	-11222.0	-12220.0	-1757.6383	2.1779604	3389.911494140625	0.001764707239344716	30976	-0.06924693527584491
64000	124	6054.284139633179	-11354.65	-11370.5	290.1181746515683	-10747.0	-11960.0	-1638.0012	2.1643972	2440.6027282714845	0.0005837920308113099	32000	0.295160583316723
66000	128	6212.374979734421	-11900.9	-11905.0	250.99651916227634	-11480.0	-12266.0	-1528.8785	2.1916451	3396.4669091796877	0.001954561620950699	32768	-0.041195926589825405
68000	132	6379.835382699966	-12082.55	-12108.0	381.99386534065536	-11258.0	-12558.0	-1500.6547	2.2389052	3863.791579589844	-0.002031462141312659	33792	0.28302596491224574
70000	136	6553.871114253998	-12601.25	-12620.5	259.53964812214804	-12151.0	-13090.0	-1483.3511	2.247712	4940.916086425781	0.005085545405745506	34816	0.2858424854664833
72000	140	6723.210706710815	-12745.45	-12826.5	356.56098245675497	-12049.0	-13298.0	-1427.7421	2.2539473	5041.6983715820315	-0.001978530213236809	35840	-0.4286383915442229
74000	144	6893.280437707901	-12497.05	-12468.0	272.9498652635103	-12098.0	-13030.0	-1363.9192	2.2605712	4150.639431152344	0.0015697509050369262	36864	0.5093221397181227
76000	148	7063.314479589462	-12291.65	-12319.5	373.0561231941269	-11567.0	-12827.0	-1375.2517	2.2522402	4680.3009375	-0.0019800867419689895	37888	0.4527279133876664
78000	152	7240.012789726257	-11701.25	-11710.5	257.7029859108513	-11233.0	-12030.0	-1635.0396	2.2138257	3895.959835205078	-0.0019511104002594949	38912	0.3020400899350515
80000	156	7425.531975269318	-11828.6	-11771.0	368.3994399675725	-11224.0	-12710.0	-1640.165	2.2203002	4503.966809082031	-0.00024159226566553116	39936	0.05523394723680497
82000	160	7608.622804880142	-12072.5	-12012.5	330.5124410430121	-11350.0	-12598.0	-1651.4298	2.2186744	3965.72953125	0.001652439646422863	40960	0.4904162372300176
84000	164	7794.539605140686	-12003.35	-12050.0	308.2591655699709	-11360.0	-12522.0	-1737.708	2.2395523	2875.6454504394533	0.000204099602997303	41984	0.21238104492951393
86000	168	7970.736976385117	-12181.7	-12169.0	311.99293176878894	-11435.0	-12877.0	-1736.732	2.225293	2576.461290283203	-0.0003423645347356796	42752	0.6203488817991013
88000	172	8158.933265686035	-11806.8	-11817.0	233.85321532061405	-11420.0	-12239.0	-1694.977	2.2097056	3852.5452075195312	-0.005893824230879545	43776	-1.1304079635969115
90000	176	8332.68095445633	-11778.15	-11733.0	312.6594372223722	-11323.0	-12269.0	-1606.0048	2.2061744	2400.8687939453125	0.000619833692908287	44800	0.19505608962655185
92000	180	8492.682160377502	-11886.05	-11950.0	350.94226170786493	-11066.0	-12654.0	-1530.4866	2.2170649	3388.5549829101565	-0.004529361287131906	45824	0.6304610809899293
